Player,PPG,APG,RPG,SPG,BPG,G
Caris LeVert 19 20,18.7,4.4,4.2,1.2,0.2,45
Damian Lillard 19 20,30,8,4.3,1.1,0.3,66
Nassir Little 19 20,3.6,0.5,2.3,0.3,0.3,48
Kevon Looney 19 20,3.4,1,3.3,0.6,0.3,20
Brook Lopez 19 20,12,1.5,4.6,0.7,2.4,68
Robin Lopez 19 20,5.4,0.7,2.4,0.2,0.7,66
Kevin Love 19 20,17.6,3.2,9.8,0.6,0.3,56
Kyle Lowry 19 20,19.4,7.5,5,1.4,0.4,58
Timothé Luwawu-Cabarrot 19 20,7.8,0.6,2.7,0.4,0.1,47
Trey Lyles 19 20,6.4,1.1,5.7,0.4,0.4,63
Daryl Macon 19 20,0.8,0.3,0,0,0,4
J.P. Macura 19 20,0,0,0,0,0,1
Josh Magette 19 20,1.5,0.6,0.8,0.4,0.1,8
Ian Mahinmi 19 20,7.4,1.3,5.7,0.8,1.2,38
Thon Maker 19 20,4.7,0.7,2.8,0.4,0.7,60
Terance Mann 19 20,2.4,1.3,1.3,0.3,0.1,41
Boban Marjanović 19 20,6.6,0.5,4.5,0.2,0.2,44
Lauri Markkanen 19 20,14.7,1.5,6.3,0.8,0.5,50
Caleb Martin 19 20,6.2,1.3,2.1,0.7,0.4,18
Cody Martin 19 20,5,2,3.3,0.8,0.2,48
Jeremiah Martin 19 20,7.1,2,1.1,0.8,0.2,9
Kelan Martin 19 20,6.4,0.7,3.1,0.2,0.3,31
Frank Mason III 19 20,6.9,3.2,2.1,0.6,0.1,9
Garrison Mathews 19 20,5.4,0.6,1.3,0.4,0.1,18
Wesley Matthews 19 20,7.4,1.4,2.5,0.6,0.1,67
Luc Mbah a Moute 19 20,1.7,0,0.7,0.7,0,3
Patrick McCaw 19 20,4.6,2.1,2.3,1.1,0.1,37
CJ McCollum 19 20,22.2,4.4,4.2,0.8,0.6,70
T.J. McConnell 19 20,6.5,5,2.7,0.8,0.2,71
Jalen McDaniels 19 20,5.6,0.8,4.1,0.5,0.2,16
Doug McDermott 19 20,10.3,1.1,2.5,0.2,0.1,69
JaVale McGee 19 20,6.6,0.5,5.7,0.5,1.4,68
Rodney McGruder 19 20,3.3,0.6,2.7,0.5,0.1,56
Alfonzo McKinnie 19 20,4.6,0.4,2.8,0.6,0.2,40
Jordan McLaughlin 19 20,7.6,4.2,1.6,1.1,0.1,30
Ben McLemore 19 20,10.1,0.8,2.2,0.6,0.2,71
